symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
ZEEL,107.34,-0.06,106.05,109.6,104.58,101.32,97.49,99.73,0.0
HINDPETRO,405.4,1.25,392.7,407.7,396.3,392.72,395.79,406.55,0.0
FORCEMOT,17910.0,-1.83,17880.0,18334.0,18299.71,18779.64,19320.23,19323.7,0.0
INDIACEM,392.5,-4.34,383.15,399.95,386.08,387.52,392.47,393.04,0.0
RKFORGE,562.15,-1.07,553.25,568.6,568.39,567.46,561.91,562.42,0.0
COROMANDEL,2020.4,-0.68,2015.0,2047.0,2016.81,1985.4,2014.64,2093.9,0.0
ANURAS,1267.9,0.03,1263.6,1273.8,1272.61,1287.04,1286.08,1261.13,0.0
HDBFS,728.1,-0.6,720.4,736.9,733.48,709.63,699.61,710.54,0.0
KFINTECH,881.8,-0.69,874.0,889.95,881.55,881.12,907.19,970.27,0.0
KPRMILL,1113.3,-2.37,1110.1,1157.5,1127.48,1077.87,1026.19,1013.8,0.0
RITES,219.94,0.85,216.0,220.53,219.06,215.02,215.5,224.13,0.0
JSWSTEEL,1257.0,1.59,1247.2,1266.6,1242.2,1249.86,1238.37,1203.25,0.0
APLAPOLLO,1814.3,1.05,1789.3,1821.8,1810.53,1841.39,1878.1,1871.11,0.0
WHIRLPOOL,773.55,0.23,768.8,782.9,791.37,814.75,853.5,948.55,0.0
AMBUJACEM,437.8,-0.16,432.0,442.35,431.75,434.07,450.01,484.15,0.0
DRREDDY,1223.1,0.98,1209.6,1231.3,1276.7,1288.76,1284.26,1275.22,0.0
BAYERCROP,4260.9,0.63,4225.4,4274.9,4184.13,4283.38,4413.87,4670.05,0.0
NHPC,81.0,2.27,78.63,81.18,79.07,78.5,78.49,79.53,0.0
FSL,266.65,0.1,262.9,269.0,253.72,249.48,254.41,275.0,0.0
HEG,594.3,1.18,582.7,596.6,557.31,555.88,557.88,553.61,0.0
INTELLECT,751.45,-1.12,744.55,766.45,754.5,744.49,757.79,825.33,0.0
CHOLAHLDNG,1553.3,-1.29,1540.3,1575.0,1611.61,1605.05,1622.93,1698.26,0.0
SUZLON,53.09,2.12,51.61,53.29,54.37,54.35,53.11,53.58,0.0
POLICYBZR,1584.6,0.67,1566.6,1593.2,1596.5,1610.19,1619.23,1652.55,0.0
GMDCLTD,577.35,-0.71,573.6,588.0,594.54,612.14,611.4,585.88,0.0
ASTRAL,1396.1,1.33,1367.8,1403.8,1395.95,1456.33,1492.03,1500.14,0.0
KEI,4928.5,0.45,4861.5,4949.0,5152.56,5152.1,4976.56,4703.87,0.0
SYRMA,1340.8,-1.35,1330.1,1357.8,1374.66,1267.7,1130.38,992.68,0.0
SIGNATURE,799.35,-1.28,796.2,813.0,799.99,807.17,842.25,918.57,0.0
CONCOR,499.0,2.49,485.05,500.0,478.37,478.2,484.63,502.75,0.0
CIPLA,1441.6,1.61,1419.5,1466.6,1431.68,1405.66,1388.85,1402.9,0.0
GODREJCP,1064.8,-0.66,1055.8,1069.5,1058.77,1051.79,1069.09,1106.63,0.0
UCOBANK,26.64,2.23,25.93,26.73,26.45,26.36,26.65,27.62,0.0
TITAGARH,867.2,0.85,839.7,873.0,863.85,843.55,817.96,818.39,0.0
HFCL,208.03,-2.41,203.16,213.7,210.78,187.09,154.91,124.1,0.0
ABDL,626.35,1.59,616.05,629.35,636.12,608.54,577.42,553.22,0.0
VOLTAS,1357.4,1.12,1326.8,1361.7,1322.11,1319.97,1338.23,1358.08,0.0
